standalone | Starting Airflow Standalone
dag-processor | 2026-02-18T13:28:43.393452Z [info     ] Setting next_dagrun for asset_alias_example_alias_consumer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:43.395395Z [info     ] Setting next_dagrun for asset_alias_example_alias_producer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:43.396787Z [info     ] Setting next_dagrun for asset_s3_bucket_consumer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:43.398017Z [info     ] Setting next_dagrun for asset_s3_bucket_producer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:43.446538Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:43.451845Z [info     ] Setting next_dagrun for example_short_circuit_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:43.480952Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:43.485643Z [info     ] Setting next_dagrun for latest_only to 2026-02-18 13:28:43.485467+00:00, run_after=2026-02-18 13:28:43.485467+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:43.556190Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:43.565745Z [info     ] Setting next_dagrun for example_bash_operator to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.567956Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:28:44.572353Z [info     ] Not time to refresh bundle example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:28:44.680902Z [info     ] Sync 2 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:44.685773Z [info     ] Setting next_dagrun for example_external_task_marker_child to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.687714Z [info     ] Setting next_dagrun for example_external_task_marker_parent to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.761427Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:44.768648Z [info     ] Setting next_dagrun for example_python_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.806185Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:44.813335Z [info     ] Setting next_dagrun for example_asset_with_watchers to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.852034Z [info     ] Sync 10 DAGs                   [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:44.862041Z [info     ] Setting next_dagrun for asset_consumes_1 to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.863746Z [info     ] Setting next_dagrun for asset_consumes_1_and_2 to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.865020Z [info     ] Setting next_dagrun for asset_consumes_1_never_scheduled to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.866201Z [info     ] Setting next_dagrun for asset_consumes_unknown_never_scheduled to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.870734Z [info     ] Setting next_dagrun for asset_produces_1 to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.872526Z [info     ] Setting next_dagrun for asset_produces_2 to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.876511Z [info     ] Setting next_dagrun for conditional_asset_and_time_based_timetable to 2026-02-18 01:00:00+00:00, run_after=2026-02-18 01:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.878628Z [info     ] Setting next_dagrun for consume_1_and_2_with_asset_expressions to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.879816Z [info     ] Setting next_dagrun for consume_1_or_2_with_asset_expressions to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.881350Z [info     ] Setting next_dagrun for consume_1_or_both_2_and_3_with_asset_expressions to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:44.964746Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:44.969651Z [info     ] Setting next_dagrun for tutorial_taskflow_api to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:45.011670Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:45.018011Z [info     ] Setting next_dagrun for example_task_group_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:45.053927Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:45.059442Z [info     ] Setting next_dagrun for example_short_circuit_operator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:45.124163Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:45.127832Z [info     ] Setting next_dagrun for example_sensors to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:46.288395Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:46.307480Z [info     ] Setting next_dagrun for example_bash_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:46.430123Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:46.465414Z [info     ] Setting next_dagrun for example_branch_python_operator_decorator to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:46.519707Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:46.536404Z [info     ] Setting next_dagrun for example_weekday_branch_operator to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:46.590076Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:46.599613Z [info     ] Setting next_dagrun for child_dag to 2022-01-01 00:00:00+00:00, run_after=2022-01-01 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:46.653931Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:46.669864Z [info     ] Setting next_dagrun for example_branch_operator to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:46.818947Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:46.825809Z [info     ] Setting next_dagrun for example_time_delta_sensor_async to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:46.865714Z [info     ] Sync 2 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:46.872716Z [info     ] Setting next_dagrun for example_xcom_args to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:46.876169Z [info     ] Setting next_dagrun for example_xcom_args_with_operators to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:46.919700Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:46.929015Z [info     ] Setting next_dagrun for example_xcom to 2021-01-01 00:00:00+00:00, run_after=2021-01-01 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.011723Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.018180Z [info     ] Setting next_dagrun for tutorial_objectstorage to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.073996Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.082886Z [info     ] Setting next_dagrun for example_complex to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.126244Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.143042Z [info     ] Setting next_dagrun for example_branch_dop_operator_v3 to 2026-02-18 13:28:00+00:00, run_after=2026-02-18 13:28:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.184941Z [info     ] Sync 3 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.198179Z [info     ] Setting next_dagrun for asset_with_extra_by_context to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.202849Z [info     ] Setting next_dagrun for asset_with_extra_by_yield to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.206820Z [info     ] Setting next_dagrun for asset_with_extra_from_classic_operator to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.284043Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.296043Z [info     ] Setting next_dagrun for example_custom_weight to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.337777Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.351838Z [info     ] Setting next_dagrun for example_branch_labels to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.390208Z [info     ] Sync 3 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.403915Z [info     ] Setting next_dagrun for example_branch_datetime_operator to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.408696Z [info     ] Setting next_dagrun for example_branch_datetime_operator_2 to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.412817Z [info     ] Setting next_dagrun for example_branch_datetime_operator_3 to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.475619Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.482912Z [info     ] Setting next_dagrun for example_sensor_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.525088Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.531496Z [info     ] Setting next_dagrun for example_hitl_operator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.568046Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.573423Z [info     ] Setting next_dagrun for example_trigger_target_dag to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.637285Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.645163Z [info     ] Setting next_dagrun for tutorial_taskflow_api_virtualenv to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.709383Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.718191Z [info     ] Setting next_dagrun for tutorial to 2026-02-18 13:28:47.717919+00:00, run_after=2026-02-18 13:28:47.717919+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.755972Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.766558Z [info     ] Setting next_dagrun for example_workday_timetable to 2026-02-18 00:00:00+00:00, run_after=2026-02-19 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.798583Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.806952Z [info     ] Setting next_dagrun for example_skip_dag to 2026-02-18 13:28:47.806724+00:00, run_after=2026-02-18 13:28:47.806724+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.860944Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.865335Z [info     ] Setting next_dagrun for example_simplest_dag to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.903920Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.909052Z [info     ] Setting next_dagrun for example_setup_teardown_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:47.971488Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:47.976208Z [info     ] Setting next_dagrun for tutorial_dag to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.061376Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.072254Z [info     ] Setting next_dagrun for example_nested_branch_dag to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.115432Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.121571Z [info     ] Setting next_dagrun for example_params_ui_tutorial to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.153824Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.159325Z [info     ] Setting next_dagrun for example_dynamic_task_mapping_with_no_taskflow_operators to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.201208Z [info     ] Sync 2 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.206047Z [info     ] Setting next_dagrun for example_dynamic_task_mapping to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.207984Z [info     ] Setting next_dagrun for example_task_mapping_second_order to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.259381Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.265212Z [info     ] Setting next_dagrun for example_params_trigger_ui to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.290827Z [info     ] DAG bundles loaded: dags-folder, example_dags [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:179
dag-processor | 2026-02-18T13:28:48.327488Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.332996Z [info     ] Setting next_dagrun for example_python_operator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.383672Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.394819Z [info     ] Setting next_dagrun for example_external_task to 2022-01-01 00:00:00+00:00, run_after=2022-01-01 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.440137Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.445973Z [info     ] Setting next_dagrun for example_task_group to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.505365Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.512873Z [info     ] Setting next_dagrun for latest_only_with_trigger to 2026-02-18 13:28:48.512623+00:00, run_after=2026-02-18 13:28:48.512623+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.547200Z [info     ] Sync 4 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.557049Z [info     ] Setting next_dagrun for asset_alias_example_alias_consumer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.558802Z [info     ] Setting next_dagrun for asset_alias_example_alias_producer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.560306Z [info     ] Setting next_dagrun for asset_s3_bucket_consumer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.561453Z [info     ] Setting next_dagrun for asset_s3_bucket_producer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.606633Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.620346Z [info     ] Setting next_dagrun for example_passing_params_via_test_command to 2026-02-18 13:28:00+00:00, run_after=2026-02-18 13:28:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.661772Z [info     ] Sync 2 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.673763Z [info     ] Setting next_dagrun for read_asset_event to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.678461Z [info     ] Setting next_dagrun for read_asset_event_from_classic to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:48.715701Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:28:48.717433Z [info     ] Setting next_dagrun for example_dag_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:28:49.726635Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:28:49.729259Z [info     ] Not time to refresh bundle example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:28:54.781338Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:28:54.783095Z [info     ] Not time to refresh bundle example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:28:59.862989Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:28:59.863720Z [info     ] Not time to refresh bundle example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:29:04.929886Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:29:04.932255Z [info     ] Not time to refresh bundle example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:29:09.990302Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:29:09.991771Z [info     ] Not time to refresh bundle example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:592
dag-processor | 2026-02-18T13:29:14.029227Z [info     ]
dag-processor | ================================================================================
dag-processor | DAG File Processing Stats
dag-processor | Bundle        File Path                                                   PID    Current Duration      # DAGs    # Errors  Last Duration    Last Run At
dag-processor | ------------  ----------------------------------------------------------  -----  ------------------  --------  ----------  ---------------  -------------------
dag-processor | example_dags  standard/example_branch_operator_decorator.py                                                 1           0  0.27s            2026-02-18T13:28:46
dag-processor | example_dags  standard/example_python_decorator.py                                                          1           0  0.16s            2026-02-18T13:28:44
dag-processor | example_dags  standard/example_bash_decorator.py                                                            1           0  0.15s            2026-02-18T13:28:46
dag-processor | example_dags  standard/example_branch_day_of_week_operator.py                                               1           0  0.13s            2026-02-18T13:28:46
dag-processor | example_dags  plugins/event_listener.py                                                                     0           0  0.13s            2026-02-18T13:28:46
dag-processor | example_dags  tutorial_taskflow_api.py                                                                      1           0  0.12s            2026-02-18T13:28:44
dag-processor | example_dags  example_complex.py                                                                            1           0  0.12s            2026-02-18T13:28:47
dag-processor | example_dags  example_custom_weight.py                                                                      1           0  0.11s            2026-02-18T13:28:47
dag-processor | example_dags  tutorial_objectstorage.py                                                                     1           0  0.10s            2026-02-18T13:28:47
dag-processor | example_dags  standard/example_sensor_decorator.py                                                          1           0  0.10s            2026-02-18T13:28:47
dag-processor | example_dags  example_time_delta_sensor_async.py                                                            1           0  0.10s            2026-02-18T13:28:46
dag-processor | example_dags  example_xcomargs.py                                                                           2           0  0.09s            2026-02-18T13:28:46
dag-processor | example_dags  standard/example_external_task_child_deferrable.py                                            1           0  0.09s            2026-02-18T13:28:46
dag-processor | example_dags  example_task_group.py                                                                         1           0  0.08s            2026-02-18T13:28:48
dag-processor | example_dags  example_params_ui_tutorial.py                                                                 1           0  0.08s            2026-02-18T13:28:48
dag-processor | example_dags  standard/example_branch_operator.py                                                           1           0  0.08s            2026-02-18T13:28:46
dag-processor | example_dags  example_workday_timetable.py                                                                  1           0  0.08s            2026-02-18T13:28:47
dag-processor | example_dags  tutorial_taskflow_api_virtualenv.py                                                           1           0  0.08s            2026-02-18T13:28:47
dag-processor | example_dags  example_outlet_event_extra.py                                                                 3           0  0.08s            2026-02-18T13:28:47
dag-processor | example_dags  example_params_trigger_ui.py                                                                  1           0  0.08s            2026-02-18T13:28:48
dag-processor | example_dags  standard/example_external_task_parent_deferrable.py                                           1           0  0.08s            2026-02-18T13:28:48
dag-processor | example_dags  standard/example_short_circuit_decorator.py                                                   1           0  0.07s            2026-02-18T13:28:43
dag-processor | example_dags  tutorial.py                                                                                   1           0  0.07s            2026-02-18T13:28:47
dag-processor | example_dags  example_simplest_dag.py                                                                       1           0  0.07s            2026-02-18T13:28:47
dag-processor | example_dags  tutorial_taskflow_templates.py                                                                1           0  0.07s            2026-02-18T13:28:43
dag-processor | example_dags  example_branch_labels.py                                                                      1           0  0.07s            2026-02-18T13:28:47
dag-processor | example_dags  example_passing_params_via_test_command.py                                                    1           0  0.07s            2026-02-18T13:28:48
dag-processor | example_dags  plugins/workday.py                                                                            0           0  0.07s            2026-02-18T13:28:48
dag-processor | example_dags  example_xcom.py                                                                               1           0  0.07s            2026-02-18T13:28:46
dag-processor | example_dags  example_branch_python_dop_operator_3.py                                                       1           0  0.07s            2026-02-18T13:28:47
dag-processor | example_dags  example_dag_decorator.py                                                                      1           0  0.07s            2026-02-18T13:28:48
dag-processor | example_dags  example_inlet_event_extra.py                                                                  2           0  0.07s            2026-02-18T13:28:48
dag-processor | example_dags  standard/example_branch_datetime_operator.py                                                  3           0  0.06s            2026-02-18T13:28:47
dag-processor | example_dags  example_display_name.py                                                                       1           0  0.06s            2026-02-18T13:28:43
dag-processor | example_dags  example_asset_with_watchers.py                                                                1           0  0.06s            2026-02-18T13:28:44
dag-processor | example_dags  example_setup_teardown.py                                                                     1           0  0.06s            2026-02-18T13:28:43
dag-processor | example_dags  example_trigger_target_dag.py                                                                 1           0  0.06s            2026-02-18T13:28:47
dag-processor | example_dags  standard/example_short_circuit_operator.py                                                    1           0  0.06s            2026-02-18T13:28:45
dag-processor | example_dags  standard/example_hitl_operator.py                                                             1           0  0.06s            2026-02-18T13:28:47
dag-processor | example_dags  example_asset_alias.py                                                                        4           0  0.06s            2026-02-18T13:28:48
dag-processor | example_dags  example_assets.py                                                                            10           0  0.06s            2026-02-18T13:28:44
dag-processor | example_dags  example_task_group_decorator.py                                                               1           0  0.06s            2026-02-18T13:28:45
dag-processor | example_dags  example_dynamic_task_mapping.py                                                               2           0  0.06s            2026-02-18T13:28:48
dag-processor | example_dags  example_skip_dag.py                                                                           1           0  0.05s            2026-02-18T13:28:47
dag-processor | example_dags  example_local_kubernetes_executor.py                                                          0           0  0.05s            2026-02-18T13:28:48
dag-processor | example_dags  example_setup_teardown_taskflow.py                                                            1           0  0.05s            2026-02-18T13:28:47
dag-processor | example_dags  plugins/decreasing_priority_weight_strategy.py                                                0           0  0.05s            2026-02-18T13:28:47
dag-processor | example_dags  standard/example_trigger_controller_dag.py                                                    1           0  0.05s            2026-02-18T13:28:43
dag-processor | example_dags  example_asset_decorator.py                                                                    3           0  0.05s            2026-02-18T13:28:43
dag-processor | example_dags  example_asset_alias_with_no_taskflow.py                                                       4           0  0.05s            2026-02-18T13:28:43
dag-processor | example_dags  example_kubernetes_executor.py                                                                0           0  0.05s            2026-02-18T13:28:45
dag-processor | example_dags  standard/example_external_task_marker_dag.py                                                  2           0  0.05s            2026-02-18T13:28:44
dag-processor | dags-folder   retail_pipeline_dag.py                                                                        0           1  0.05s            2026-02-18T13:28:48
